id,lang,username,created_at,public_metrics
1572129025019248644,en,IndianExpress,2022-09-20 07:42:22+00:00,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1572129024813707271,ja,Collectbook,2022-09-20 07:42:22+00:00,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1572129023748186115,ar,bdalrhmn_ghzl,2022-09-20 07:42:22+00:00,"{'retweet_count': 12890, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1572129023287001090,ar,Hansraj48299197,2022-09-20 07:42:22+00:00,"{'retweet_count': 6227, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1572129021340831746,th,imyourwalnuttt,2022-09-20 07:42:22+00:00,"{'retweet_count': 15421, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1572129018849202176,ar,ASLAM7734,2022-09-20 07:42:21+00:00,"{'retweet_count': 14371, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1572129018589155328,ar,ninermn274,2022-09-20 07:42:21+00:00,"{'retweet_count': 20312, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1572129018333503488,ja,kinupon1231,2022-09-20 07:42:21+00:00,"{'retweet_count': 1094, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1572129016706117633,pt,DIREITAMANAUS22,2022-09-20 07:42:20+00:00,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1572129015443357696,fr,quo80,2022-09-20 07:42:20+00:00,"{'retweet_count': 2726, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1572129015426682881,en,iam_reeena,2022-09-20 07:42:20+00:00,"{'retweet_count': 84, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1572129014143131649,en,scofie_felix,2022-09-20 07:42:20+00:00,"{'retweet_count': 17, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1572129013555937280,ar,mram06981488,2022-09-20 07:42:20+00:00,"{'retweet_count': 12890, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1572129012339580929,es,RealDrCollision,2022-09-20 07:42:19+00:00,"{'retweet_count': 4, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1572129008808230914,ja,hiro_o727o,2022-09-20 07:42:19+00:00,"{'retweet_count': 1094, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1572129008367865856,ja,RGM_79R,2022-09-20 07:42:18+00:00,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1572129007944056834,ar,0n14_,2022-09-20 07:42:18+00:00,"{'retweet_count': 35346, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1572129007164084225,ja,Uta469,2022-09-20 07:42:18+00:00,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1572129006929190912,en,invictus_gh,2022-09-20 07:42:18+00:00,"{'retweet_count': 72, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1572129005431570432,en,nctnoiseaddict,2022-09-20 07:42:18+00:00,"{'retweet_count': 153, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1572129004257447942,ja,animekawato,2022-09-20 07:42:18+00:00,"{'retweet_count': 1094, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1572129003565355008,ru,overclockers_ru,2022-09-20 07:42:17+00:00,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1572129003439374336,fr,natachaboyer974,2022-09-20 07:42:17+00:00,"{'retweet_count': 353, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1572129002466463745,en,HadrielCamille,2022-09-20 07:42:17+00:00,"{'retweet_count': 17, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1572129001841512449,ar,nbylwz,2022-09-20 07:42:17+00:00,"{'retweet_count': 6097, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1572128999928901632,ja,UWz8jo,2022-09-20 07:42:16+00:00,"{'retweet_count': 9, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1572128999517868032,ja,uma_9_10,2022-09-20 07:42:16+00:00,"{'retweet_count': 325, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1572128997730811904,ar,bdalrhmn_ghzl,2022-09-20 07:42:16+00:00,"{'retweet_count': 6097, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1572128997223370752,en,Splendoura1,2022-09-20 07:42:16+00:00,"{'retweet_count': 84, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1572128995206123521,en,chanel_jaynette,2022-09-20 07:42:15+00:00,"{'retweet_count': 32, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1572128995147415553,ja,OmTGsBS0EupPOke,2022-09-20 07:42:15+00:00,"{'retweet_count': 51, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1572128994220474369,en,FiveOooh,2022-09-20 07:42:15+00:00,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1572128993779892224,es,wwwanpaus,2022-09-20 07:42:15+00:00,"{'retweet_count': 4, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1572128991540281344,th,mprangcaseshop,2022-09-20 07:42:14+00:00,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1572128991104081922,in,ainaimfoodies,2022-09-20 07:42:14+00:00,"{'retweet_count': 122, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1572128989933883393,ja,RQfaQ0NtQn4Kb8l,2022-09-20 07:42:14+00:00,"{'retweet_count': 1094, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1572128989237641217,ar,maki_1450,2022-09-20 07:42:14+00:00,"{'retweet_count': 22749, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1572128989216669696,ja,HoshouNaraken,2022-09-20 07:42:14+00:00,"{'retweet_count': 51, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1572128988998541318,in,ismaaliasab,2022-09-20 07:42:14+00:00,"{'retweet_count': 842, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1572128987979329538,ja,Kamituku_no407,2022-09-20 07:42:14+00:00,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1572128987215699970,ar,hlawghl57621697,2022-09-20 07:42:13+00:00,"{'retweet_count': 38, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1572128985898680321,fr,MissEstrella001,2022-09-20 07:42:13+00:00,"{'retweet_count': 553, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1572128985299161089,es,Marcerexic,2022-09-20 07:42:13+00:00,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1572128984506466305,ja,Ee8Ywr,2022-09-20 07:42:13+00:00,"{'retweet_count': 1094, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1572128983529181185,en,yuzuyuzuadg,2022-09-20 07:42:13+00:00,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1572128983340154881,ar,F_rr_2,2022-09-20 07:42:13+00:00,"{'retweet_count': 10206, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1572128981695995904,es,orejia,2022-09-20 07:42:12+00:00,"{'retweet_count': 178, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1572128980698017794,ar,TTAihFcRDqfiyHo,2022-09-20 07:42:12+00:00,"{'retweet_count': 12890, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1572128980492488705,ar,hwd17924898,2022-09-20 07:42:12+00:00,"{'retweet_count': 27442, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1572128980328939520,en,ExpressTechie,2022-09-20 07:42:12+00:00,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1572128979519242240,fr,C0eurSensible,2022-09-20 07:42:12+00:00,"{'retweet_count': 158, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1572128979108392960,ar,swsn91516246,2022-09-20 07:42:12+00:00,"{'retweet_count': 6097, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1572128978915446788,ja,lasloszzz,2022-09-20 07:42:11+00:00,"{'retweet_count': 51, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1572128977703272448,en,realschoolboyjr,2022-09-20 07:42:11+00:00,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1572128976013004802,ja,zechsDQ10,2022-09-20 07:42:11+00:00,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1572128973806571520,en,AdvanceML,2022-09-20 07:42:10+00:00,"{'retweet_count': 20, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1572128972582039554,ja,paraparatyahan,2022-09-20 07:42:10+00:00,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1572128970380029954,en,taylormorgan360,2022-09-20 07:42:09+00:00,"{'retweet_count': 260, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1572128970052706304,en,MpenduloMnisi2,2022-09-20 07:42:09+00:00,"{'retweet_count': 1511, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1572128967699886083,en,Therealguyx,2022-09-20 07:42:09+00:00,"{'retweet_count': 28, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
